Station,Latitude (DD),Longitude (DD),Depth (m)
ER 09,42.53833,-79.61667,47
ER 10,42.68,-79.69167,32
ER 15,42.51667,-79.89333,60
ER 30,42.43,-81.205,21
ER 31,42.25333,-81.10667,21
ER 32,42.08167,-81.01167,22
ER 36,41.935,-81.47833,23
ER 37,42.11,-81.575,24
ER 38,42.28167,-81.67167,22
ER 42,41.965,-82.04167,22
ER 43,41.78833,-81.945,23
ER 58,41.685,-82.93333,11.5
ER 59,41.72667,-83.15,10
ER 60,41.89167,-83.19667,9.5
ER 61,41.94667,-83.045,10
ER 63,42.41667,-79.8,45
ER 73,41.97778,-81.75694,24
ER 78,42.11667,-81.25,23
ER 91,41.84083,-82.91667,10.5
ER 92,41.95,-82.68667,11